userId,passwordScheme,totalLogins,successfulLogins,unsuccessfulLogins,avgSuccessLoginTime,avgFailedLoginTime
togmdypyg,Face,3,3,0,30.333333333333332,0.0
hw6azeay1,Face,5,3,2,35.333333333333336,29.5
u8fcue4uf,Face,5,2,3,24.5,25.0
b86bf3e3g,Face,5,2,3,17.5,25.333333333333332
14j5op2bg,Face,6,1,5,11.0,16.4
yhqewg0gd,Face,7,2,5,12.5,17.6
flt6vhl81,Face,7,1,6,55.0,16.833333333333332
qxjc8u77r,Face,3,3,0,8.666666666666666,0.0
hlfv5l60r,Face,3,0,3,0.0,43.333333333333336
l6uj4psc5,Face,4,3,1,5.666666666666667,5.0
kbb30zm9l,Face,4,3,1,16.666666666666668,39.0
a1bsb2lpb,Face,9,1,8,6.0,14.375
iwe0vg7si,Face,1,1,0,18.0,0.0
bgax0ijdd,Face,8,1,7,5.0,10.857142857142858
